video_id,title,duration,thumbnail,upload_time,category,view_count,country,subscribers,genre,duration_seconds,upload_hour,upload_dayofweek,faces,has_text,brightness,vibrancy,contrast,color_variety,red_dominance,sharpness,aspect_ratio
default,"Entertainment | Full Movie | Akshay Kumar, Tamannaah Bhatia, Johnny Lever",02:18:56,https://i.ytimg.com/vi/LXXkiUKDK4w/default.jpg,2014-09-26 09:38:00+00:00,1,69129886217,India,29000000,Film & Animation,8336.0,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default_live,LOL Stand Up: 24/7 Stand Up Comedy,00:00:00,https://i.ytimg.com/vi/ctyzvJLoid0/default_live.jpg,2024-07-18 17:35:06+00:00,23,206257296,United States,5280000,Comedy,0.0,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
