faces,has_text,brightness,vibrancy,contrast,color_variety,red_dominance,sharpness,aspect_ratio,image_name
4,1,0.4953,0.1677,0.252,0.0,0.0058,498.8934,1.78,vid_106.jpg
0,0,0.379,0.1734,0.2258,52.939,0.1381,122.4458,1.78,vid_1060.jpg
0,1,0.3687,0.251,0.2512,86.714,0.0402,1557.9817,1.78,vid_1061.jpg
1,1,0.3872,0.2662,0.2387,86.388,0.0866,400.8609,1.78,vid_1062.jpg
2,1,0.3057,0.3036,0.2221,80.338,0.1368,709.0054,1.78,vid_1063.jpg
0,1,0.2703,0.1837,0.2005,69.224,0.0331,1172.0066,1.78,vid_1064.jpg
0,0,0.2949,0.2159,0.185,40.097,0.0735,119.2603,1.78,vid_1065.jpg
0,1,0.3002,0.3876,0.2821,61.479,0.0901,684.6453,1.78,vid_1066.jpg
0,0,0.4939,0.501,0.235,64.351,0.0,175.8979,1.78,vid_1067.jpg
0,0,0.3872,0.3924,0.2033,27.522,0.7916,53.9331,1.78,vid_1068.jpg
2,1,0.3368,0.3465,0.2677,70.871,0.0899,1634.206,1.78,vid_1069.jpg
8,1,0.4006,0.4369,0.2495,0.0,0.038,1460.7261,1.78,vid_107.jpg
1,1,0.3425,0.2853,0.238,81.701,0.001,513.7132,1.78,vid_1070.jpg
0,0,0.234,0.3859,0.1657,59.187,0.0905,324.9762,1.78,vid_1071.jpg
1,0,0.267,0.2619,0.1733,36.245,0.1395,74.0788,1.78,vid_1072.jpg
0,0,0.4085,0.2564,0.2513,61.755,0.0181,164.0443,1.78,vid_1073.jpg
6,1,0.3088,0.3004,0.2464,90.312,0.1371,331.9551,1.78,vid_1074.jpg
1,1,0.4675,0.4132,0.1951,0.0,0.1432,2271.989,1.78,vid_1075.jpg
0,1,0.3359,0.2241,0.239,96.79,0.0171,869.4653,1.78,vid_1076.jpg
0,1,0.8549,0.4801,0.2304,0.0,0.0637,1069.0268,1.78,vid_1077.jpg
2,0,0.3879,0.2717,0.2484,79.15,0.1136,328.6064,1.78,vid_1078.jpg
0,1,0.3182,0.3148,0.1912,66.058,0.0289,137.3192,1.78,vid_1079.jpg
